gart_threshold,min_cells,expression_threshold,result_type,source,interaction_name,pathway_name,ligand,receptor,median_difference,HL_estimate,CI_low,CI_high,P,positive_donor_fraction,n_paired_donors,test,warning,FDR,direction
2,10,0.05,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0205091927712477,0.0185257351930498,0.00679743077042415,0.0275011459171735,0.0068359375,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0199565272177419,positive
2,10,0.05,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.012851636066559,0.0105506955641184,0.00427790021195352,0.0148230642030586,0.0068359375,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0199565272177419,positive
2,10,0.1,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0153463551350374,0.0137792736154127,0.00535432521685581,0.0197401920033956,0.009765625,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0236430921052632,positive
2,10,0.1,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.016200470249439,0.0136413484052076,0.00515486732392862,0.0197392610504792,0.009765625,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0236430921052632,positive
2,10,0.1,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00979231050436637,0.00859894859141125,0.00267311564150131,0.0140319685728938,0.013671875,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0293489583333333,positive
2,10,0.1,interaction_family,Other epithelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0205091927712477,0.0185257351930498,0.00679743077042415,0.0275011459171735,0.0068359375,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0199652777777778,positive
2,10,0.1,interaction_family,T/NK,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.012851636066559,0.0105506955641184,0.00427790021195352,0.0148230642030586,0.0068359375,0.818181818181818,11,exact Wilcoxon signed-rank,,0.0199652777777778,positive
2,10,0.2,interaction_family,Endothelial,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0140060868518101,0.0110114402452986,0.00398961868471649,0.0181591698323999,0.01953125,0.8,10,exact Wilcoxon signed-rank,,0.0313358516483516,positive
2,10,0.2,interaction_family,Fibroblast,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.0160743206714083,0.0107348882402399,0.00351380891021726,0.0192037449314496,0.01953125,0.8,10,exact Wilcoxon signed-rank,,0.0313358516483516,positive
2,10,0.2,interaction_family,Myeloid,MIF_CD74_FAMILY,MIF,MIF,CD74-containing receptor complex family,0.00452991783980256,0.00718511010481994,-0.00107939731170457,0.018113134171417,0.15625,0.714285714285714,7,exact Wilcoxon signed-rank,,0.193246384297521,positive
